Aaden has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 18
Arely has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 48
Ari has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 29
Aria has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 28
Ariah has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 53
Arian has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 46
Ariana has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 48
Arianna has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 57
Ariel has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 24
Ariella has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Arielle has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 25
Arjun has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 25
Arlo has 	 fav team: Cardinals 	 RedSox friends: 43 	 Cardinals friends: 31
Armando has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 52
Armani has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 49
Arnav has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 52
Aron has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 20
Arthur has 	 fav team: Red Sox 	 RedSox friends: 36 	 Cardinals friends: 36
Arturo has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 41
Arya has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 51
Aryan has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 50
Aryana has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 46
Aryanna has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 28
Asa has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 33
Asher has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 42
Ashley has 	 fav team: Red Sox 	 RedSox friends: 62 	 Cardinals friends: 30
Ashlyn has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 33
Ashlynn has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 34
Ashton has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 25
Ashtyn has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 33
Asia has 	 fav team: Red Sox 	 RedSox friends: 33 	 Cardinals friends: 18
Aspen has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Athena has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 29
Atticus has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 29
Aubree has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 52
Aubrey has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 58
Aubri has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 42
Aubriana has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 29
Aubrianna has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 35
Aubrie has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 44
Aubrielle has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 35
Audrey has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 24
Audriana has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 28
Audrianna has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 33
Audrina has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 29
August has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 53
Augustine has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 53
Augustus has 	 fav team: Cardinals 	 RedSox friends: 41 	 Cardinals friends: 50
Aurora has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 50
Austin has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 24
Austyn has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 23
Autumn has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 27
Ava has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 25
Avah has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 38
Averi has 	 fav team: Cardinals 	 RedSox friends: 42 	 Cardinals friends: 42
Averie has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 36
Avery has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 47
Aviana has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 51
Avianna has 	 fav team: Red Sox 	 RedSox friends: 33 	 Cardinals friends: 34
Axel has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 52
Axton has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 39
Aya has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 52
Ayaan has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 39
Ayana has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 31
Ayanna has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 30
Aydan has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 47
Ayden has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 42
Aydin has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 65
Ayla has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 34
Ayleen has 	 fav team: Red Sox 	 RedSox friends: 61 	 Cardinals friends: 30
Aylin has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 57
Azalea has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 32
Azaria has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 47
Azariah has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 27
Bailee has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 40
Bailey has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 21
Barbara has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 52
Barrett has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 31
Baylee has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 39
Bayleigh has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 27
Beatrice has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 52
Beau has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 55
Beckett has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 51
Beckham has 	 fav team: Cardinals 	 RedSox friends: 40 	 Cardinals friends: 45
Belen has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 59
Bella has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 23
Ben has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 42
Benjamin has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 36
Bennett has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 24
Benson has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 23
Bentlee has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 29
Bentley has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 54
Bently has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 54
Benton has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 21
Bethany has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 45
Bianca has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 50
Billy has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 50
Blaine has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 23
Blair has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 34
Blaise has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 24
Blake has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 39
Blakely has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 56
Blaze has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 38
Bo has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 21
Bobby has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 39
Bodhi has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Boston has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 22
Bowen has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 53
Braden has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 55
Bradley has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 30
Brady has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 60
Bradyn has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 23
Braeden has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 57
Braelyn has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 30
Braelynn has 	 fav team: Cardinals 	 RedSox friends: 46 	 Cardinals friends: 51
Braiden has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 33
Branden has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 56
Brandon has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 24
Branson has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 42
Brantley has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 37
Braxton has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 31
Brayan has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 60
Brayden has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 31
Braydon has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 30
Braylee has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 54
Braylen has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 53
Braylon has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 45
Breanna has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 28
Brecken has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 34
Bree has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 35
Brenda has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 50
Brendan has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 46
Brenden has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 46
Brendon has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 33
Brenna has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 21
Brennan has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 53
Brennen has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 20
Brent has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 29
Brentley has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 47
Brenton has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 32
